date,timestamp,pm2.5,temperature,humidity,filter
2018-01-18T03,1516215600,15.32,24.00,61.00,31.00
2018-01-19T03,1516302000,14.51,24.00,64.00,30.00
2018-01-20T03,1516388400,16.67,24.00,65.00,30.00
2018-01-21T03,1516474800,15.96,24.00,65.00,29.00
2018-01-23T09,1516669200,14.94,25.00,62.00,26.00
2018-01-23T10,1516672800,14.82,24.00,62.00,26.00
2018-01-23T11,1516676400,14.92,24.00,62.00,26.00
2018-01-23T12,1516680000,15.01,24.00,63.00,26.00
2018-01-23T13,1516683600,15.07,24.00,63.00,26.00
2018-01-23T14,1516687200,15.03,24.00,62.00,26.00
2018-01-23T15,1516690800,15.36,24.00,63.00,26.00
2018-01-23T16,1516694400,15.34,24.00,62.00,26.00
2018-01-23T17,1516698000,15.16,24.00,62.00,26.00
2018-01-23T18,1516701600,15.81,24.00,62.00,26.00
2018-01-23T19,1516705200,16.50,24.00,62.00,26.00
2018-01-23T20,1516708800,16.62,24.00,62.00,26.00
2018-01-23T21,1516712400,16.53,23.00,62.00,26.00
2018-01-23T22,1516716000,16.89,23.00,62.00,26.00
2018-01-23T23,1516719600,16.68,23.00,62.00,26.00
2018-01-24T00,1516723200,16.68,23.00,62.00,25.00
2018-01-24T01,1516726800,17.52,23.00,62.00,25.00
2018-01-24T02,1516730400,18.24,24.00,62.00,25.00
2018-01-24T04,1516737600,19.43,24.00,64.00,25.00
2018-01-24T05,1516741200,17.47,24.00,63.00,25.00
2018-01-24T06,1516744800,17.29,24.00,62.00,25.00
2018-01-24T07,1516748400,18.96,24.00,66.00,25.00
2018-01-24T08,1516752000,19.27,24.00,63.00,25.00
2018-01-24T09,1516755600,19.17,23.00,67.00,25.00
2018-01-24T10,1516759200,18.38,22.00,67.00,25.00
2018-01-24T11,1516762800,17.93,23.00,65.00,25.00
2018-01-24T12,1516766400,17.39,23.00,64.00,25.00
2018-01-24T13,1516770000,17.16,23.00,64.00,25.00
2018-01-24T14,1516773600,17.08,23.00,64.00,25.00
2018-01-24T15,1516777200,16.81,22.00,64.00,25.00
2018-01-24T16,1516780800,16.61,22.00,64.00,25.00
2018-01-24T17,1516784400,16.09,22.00,64.00,25.00
2018-01-24T18,1516788000,16.34,22.00,64.00,25.00
2018-01-24T19,1516791600,16.65,22.00,64.00,25.00
2018-01-24T20,1516795200,16.53,22.00,64.00,25.00
2018-01-24T21,1516798800,16.37,22.00,64.00,25.00
2018-01-24T22,1516802400,16.32,22.00,64.00,25.00
2018-01-24T23,1516806000,16.27,22.00,64.00,25.00
2018-01-25T00,1516809600,16.13,22.00,64.00,25.00
2018-01-25T01,1516813200,15.57,23.00,63.00,25.00
2018-01-25T02,1516816800,15.57,23.00,63.00,25.00
2018-01-25T03,1516820400,15.41,23.00,63.00,25.00
2018-01-25T04,1516824000,15.39,24.00,63.00,25.00
2018-01-25T05,1516827600,15.57,24.00,63.00,25.00
2018-01-25T06,1516831200,15.29,24.00,63.00,25.00
2018-01-25T07,1516834800,15.01,24.00,63.00,25.00
2018-01-25T08,1516838400,15.12,24.00,63.00,25.00
2018-01-25T09,1516842000,15.17,23.00,64.00,25.00
2018-01-25T10,1516845600,15.38,23.00,64.00,25.00
2018-01-25T11,1516849200,15.27,23.00,64.00,25.00
2018-01-25T12,1516852800,15.18,23.00,64.00,25.00
2018-01-25T13,1516856400,15.12,23.00,64.00,25.00
2018-01-25T14,1516860000,15.12,23.00,64.00,25.00
2018-01-25T15,1516863600,15.63,23.00,64.00,25.00
2018-01-25T16,1516867200,15.62,23.00,64.00,25.00
2018-01-25T17,1516870800,14.87,23.00,64.00,25.00
2018-01-25T18,1516874400,14.95,23.00,64.00,25.00
2018-01-25T19,1516878000,14.84,23.00,64.00,25.00
2018-01-25T20,1516881600,14.85,23.00,64.00,25.00
2018-01-25T21,1516885200,14.80,23.00,64.00,25.00
2018-01-25T22,1516888800,14.83,23.00,64.00,25.00
2018-01-25T23,1516892400,15.29,23.00,64.00,25.00
2018-01-26T00,1516896000,15.29,23.00,64.00,25.00
2018-01-26T01,1516899600,14.74,23.00,65.00,25.00
