date,timestamp,pm2.5,temperature,humidity,filter
2018-01-19T03,1516302000,2.00,21.00,69.00,34.00
2018-01-20T03,1516388400,2.39,22.00,68.00,33.00
2018-01-21T03,1516474800,2.00,22.00,68.00,33.00
2018-01-21T20,1516536000,2.06,22.00,70.00,33.00
2018-01-22T07,1516575600,2.15,22.00,68.25,32.00
2018-01-22T08,1516579200,2.37,22.00,67.00,32.00
2018-01-22T09,1516582800,2.68,22.00,67.00,32.00
2018-01-22T10,1516586400,2.26,22.00,68.00,32.00
2018-01-22T11,1516590000,2.37,21.00,68.00,32.00
2018-01-22T12,1516593600,2.20,21.00,68.00,32.00
2018-01-22T13,1516597200,2.10,21.00,68.00,32.00
2018-01-22T14,1516600800,2.09,21.00,67.00,32.00
2018-01-22T15,1516604400,2.00,22.00,66.00,32.00
2018-01-22T16,1516608000,2.00,22.00,66.00,32.00
2018-01-22T17,1516611600,2.05,21.00,67.00,32.00
2018-01-22T19,1516618800,2.01,21.00,67.00,32.00
2018-01-22T20,1516622400,2.05,21.00,67.00,32.00
2018-01-22T21,1516626000,2.04,21.00,67.00,32.00
2018-01-22T22,1516629600,2.03,21.00,67.00,32.00
2018-01-22T23,1516633200,2.00,22.00,65.00,32.00
2018-01-23T00,1516636800,2.02,22.00,65.00,32.00
2018-01-23T01,1516640400,2.23,21.00,67.00,32.00
2018-01-23T02,1516644000,2.15,21.00,67.00,32.00
2018-01-23T03,1516647600,2.10,21.00,67.00,32.00
2018-01-23T04,1516651200,2.12,21.00,66.00,32.00
2018-01-23T05,1516654800,2.00,22.00,64.00,32.00
2018-01-23T06,1516658400,2.00,22.00,64.00,32.00
2018-01-23T07,1516662000,2.10,21.00,66.00,32.00
2018-01-23T08,1516665600,2.08,22.00,65.00,32.00
2018-01-23T09,1516669200,2.02,22.00,65.00,32.00
2018-01-23T10,1516672800,2.03,22.00,65.00,32.00
2018-01-23T11,1516676400,2.06,22.00,66.00,32.00
2018-01-23T12,1516680000,2.08,22.00,66.00,32.00
2018-01-23T13,1516683600,2.15,21.00,66.00,32.00
2018-01-23T14,1516687200,2.20,21.00,66.00,32.00
2018-01-23T15,1516690800,2.00,22.00,65.00,32.00
2018-01-23T16,1516694400,2.00,22.00,65.00,32.00
2018-01-23T17,1516698000,2.11,21.00,67.00,32.00
2018-01-23T18,1516701600,2.36,21.00,67.00,32.00
2018-01-23T19,1516705200,2.39,21.00,67.00,32.00
2018-01-23T20,1516708800,2.36,21.00,67.00,32.00
2018-01-23T21,1516712400,2.29,21.00,67.00,32.00
2018-01-23T22,1516716000,2.45,21.00,67.00,32.00
2018-01-23T23,1516719600,2.02,22.00,65.00,32.00
2018-01-24T00,1516723200,2.00,22.00,65.00,32.00
2018-01-24T01,1516726800,2.66,21.00,67.00,32.00
2018-01-24T02,1516730400,3.51,21.00,66.00,32.00
2018-01-24T04,1516737600,4.61,21.00,66.00,32.00
2018-01-24T05,1516741200,3.43,22.00,64.00,32.00
2018-01-24T06,1516744800,2.48,22.00,63.00,31.00
2018-01-24T07,1516748400,3.09,21.00,65.00,31.00
2018-01-24T08,1516752000,3.47,21.00,65.00,31.00
2018-01-24T09,1516755600,3.11,21.00,65.00,31.00
2018-01-24T10,1516759200,2.90,21.00,65.00,31.00
2018-01-24T11,1516762800,2.80,21.00,65.00,31.00
2018-01-24T12,1516766400,2.89,21.00,66.00,31.00
2018-01-24T13,1516770000,2.57,21.00,66.00,31.00
2018-01-24T14,1516773600,2.39,21.00,66.00,31.00
2018-01-24T15,1516777200,2.00,21.00,65.00,31.00
2018-01-24T16,1516780800,2.00,21.00,65.00,31.00
2018-01-24T17,1516784400,2.20,21.00,66.00,31.00
2018-01-24T18,1516788000,2.08,21.00,66.00,31.00
