date,timestamp,pm2.5,temperature,humidity,filter
2018-02-21T03,1519153200,3.00,22.00,69.09,4.00
2018-02-21T04,1519156800,3.00,22.00,68.00,4.00
2018-02-21T05,1519160400,3.00,22.00,69.00,4.00
2018-03-01T15,1519887600,3.00,23.00,76.00,97.00
2018-03-01T16,1519891200,3.00,23.00,77.00,97.00
2018-03-01T17,1519894800,3.00,23.00,75.00,97.00
2018-03-01T18,1519898400,3.00,23.00,75.00,97.00
2018-03-01T19,1519902000,3.00,23.00,76.00,97.00
2018-03-01T20,1519905600,3.00,23.00,76.00,97.00
2018-03-01T21,1519909200,3.00,23.00,77.00,97.00
2018-03-01T22,1519912800,3.00,23.00,76.00,97.00
2018-03-01T23,1519916400,3.00,23.00,76.00,97.00
2018-03-02T00,1519920000,3.00,23.00,76.00,97.00
2018-03-02T01,1519923600,3.00,24.00,76.00,97.00
2018-03-02T02,1519927200,3.00,25.00,73.00,97.00
2018-03-02T03,1519930800,3.00,24.00,74.00,97.00
2018-03-02T04,1519934400,3.31,25.00,74.00,96.00
2018-03-02T05,1519938000,3.14,25.00,72.00,96.00
2018-03-02T06,1519941600,3.18,26.00,70.00,96.00
2018-03-02T07,1519945200,3.53,25.00,70.00,96.00
2018-03-02T08,1519948800,5.45,26.00,69.00,96.00
2018-03-02T09,1519952400,6.82,26.00,69.00,96.00
2018-03-02T10,1519956000,14.42,24.00,73.00,96.00
2018-03-02T11,1519959600,4.75,23.00,72.00,96.00
2018-03-02T12,1519963200,3.65,22.00,69.00,96.00
2018-03-02T13,1519966800,6.66,21.00,67.00,96.00
2018-03-02T14,1519970400,3.43,23.00,68.00,96.00
2018-03-02T15,1519974000,3.20,24.00,75.00,96.00
2018-03-02T16,1519977600,16.84,23.00,75.00,96.00
2018-03-02T17,1519981200,3.02,23.00,74.00,96.00
2018-03-02T18,1519984800,3.00,23.00,74.00,96.00
2018-03-02T19,1519988400,3.00,23.00,74.00,96.00
2018-03-02T20,1519992000,3.00,23.00,74.00,96.00
2018-03-02T21,1519995600,3.00,23.00,74.00,96.00
2018-03-02T22,1519999200,3.00,23.00,74.00,96.00
2018-03-02T23,1520002800,3.00,23.00,74.00,96.00
2018-03-03T00,1520006400,3.00,23.00,73.00,96.00
2018-03-03T01,1520010000,3.00,23.00,73.00,96.00
2018-03-03T02,1520013600,3.00,24.00,72.00,96.00
2018-03-03T04,1520020800,3.00,25.00,71.00,96.00
