date,timestamp,pm2.5,temperature,humidity,filter
2018-01-19T03,1516302000,9.15,21.00,74.00,17.00
2018-01-20T03,1516388400,18.78,22.00,71.00,16.00
2018-01-21T03,1516474800,14.82,22.00,71.00,16.00
2018-01-21T20,1516536000,13.44,22.00,75.00,15.00
2018-01-22T07,1516575600,12.01,22.00,72.00,15.00
2018-01-22T08,1516579200,12.31,21.00,72.00,15.00
2018-01-22T09,1516582800,12.29,22.00,71.00,15.00
2018-01-22T10,1516586400,11.87,21.00,71.00,15.00
2018-01-22T11,1516590000,11.66,21.00,71.00,15.00
2018-01-22T12,1516593600,12.01,21.00,70.00,15.00
2018-01-22T13,1516597200,12.02,21.00,70.00,15.00
2018-01-22T14,1516600800,11.97,21.00,69.00,15.00
2018-01-22T15,1516604400,15.72,22.00,68.00,15.00
2018-01-22T16,1516608000,15.41,22.00,67.00,15.00
2018-01-22T17,1516611600,11.55,21.00,68.00,15.00
2018-01-22T18,1516615200,11.40,21.00,68.00,15.00
2018-01-22T19,1516618800,11.65,21.00,68.00,15.00
2018-01-22T20,1516622400,11.52,21.00,68.00,15.00
2018-01-22T21,1516626000,11.39,21.00,68.00,15.00
2018-01-22T22,1516629600,11.26,21.00,68.00,15.00
2018-01-22T23,1516633200,15.24,22.00,67.00,15.00
2018-01-23T00,1516636800,15.30,22.00,67.00,15.00
2018-01-23T01,1516640400,11.62,21.00,68.00,15.00
2018-01-23T02,1516644000,11.75,21.00,68.00,15.00
2018-01-23T03,1516647600,11.89,21.00,68.00,15.00
2018-01-23T04,1516651200,11.79,21.00,68.00,15.00
2018-01-23T05,1516654800,15.42,22.00,67.00,15.00
2018-01-23T06,1516658400,15.41,22.00,67.00,15.00
2018-01-23T07,1516662000,11.54,21.00,68.00,15.00
2018-01-23T08,1516665600,12.15,22.00,68.00,15.00
2018-01-23T09,1516669200,11.66,22.00,68.00,15.00
2018-01-23T10,1516672800,11.69,22.00,68.00,15.00
2018-01-23T11,1516676400,11.95,22.00,68.00,15.00
2018-01-23T12,1516680000,12.04,22.00,68.00,15.00
2018-01-23T13,1516683600,11.98,22.00,69.00,15.00
2018-01-23T14,1516687200,12.08,21.00,69.00,15.00
2018-01-23T15,1516690800,15.97,22.00,68.00,15.00
2018-01-23T16,1516694400,15.81,22.00,68.00,15.00
2018-01-23T17,1516698000,12.37,21.00,69.00,15.00
2018-01-23T18,1516701600,12.97,21.00,69.00,15.00
2018-01-23T19,1516705200,13.60,21.00,69.00,15.00
2018-01-23T20,1516708800,13.53,21.00,69.00,15.00
2018-01-23T21,1516712400,13.74,21.00,69.00,15.00
2018-01-23T22,1516716000,13.64,21.00,69.00,15.00
2018-01-23T23,1516719600,17.88,22.00,68.00,14.00
2018-01-24T00,1516723200,17.72,22.00,68.00,14.00
2018-01-24T01,1516726800,14.16,21.00,69.00,14.00
2018-01-24T02,1516730400,14.95,21.00,68.00,14.00
2018-01-24T04,1516737600,15.01,21.00,68.00,14.00
2018-01-24T05,1516741200,18.32,22.00,66.00,14.00
2018-01-24T06,1516744800,17.59,22.00,65.00,14.00
2018-01-24T07,1516748400,13.69,21.00,67.00,14.00
2018-01-24T08,1516752000,13.84,21.00,67.00,14.00
2018-01-24T09,1516755600,14.94,21.00,67.00,14.00
2018-01-24T10,1516759200,16.61,21.00,67.00,14.00
2018-01-24T11,1516762800,20.91,21.00,67.00,14.00
2018-01-24T12,1516766400,21.27,21.00,67.00,14.00
2018-01-24T13,1516770000,21.62,21.00,67.00,14.00
2018-01-24T14,1516773600,22.13,21.00,68.00,14.00
