date,timestamp,pm2.5,temperature,humidity,filter
2018-01-19T03,1516302000,4.38,21.00,73.00,23.00
2018-01-20T03,1516388400,8.45,22.00,72.00,22.00
2018-01-21T03,1516474800,4.61,21.00,73.00,22.00
2018-01-21T20,1516536000,8.14,21.00,73.00,21.00
2018-01-22T07,1516575600,6.26,21.75,71.00,21.00
2018-01-22T08,1516579200,6.49,21.00,71.00,21.00
2018-01-22T09,1516582800,7.10,21.00,68.00,21.00
2018-01-22T10,1516586400,6.43,21.00,69.00,21.00
2018-01-22T11,1516590000,6.38,21.00,69.00,21.00
2018-01-22T12,1516593600,6.45,21.00,68.00,21.00
2018-01-22T13,1516597200,6.49,21.00,68.00,21.00
2018-01-22T14,1516600800,6.46,21.00,68.00,21.00
2018-01-22T15,1516604400,4.67,21.00,68.00,21.00
2018-01-22T16,1516608000,4.26,21.00,68.00,21.00
2018-01-22T17,1516611600,5.40,21.00,67.00,21.00
2018-01-22T18,1516615200,5.36,21.00,66.00,21.00
2018-01-22T19,1516618800,5.28,21.00,66.00,21.00
2018-01-22T20,1516622400,4.99,21.00,66.00,21.00
2018-01-22T21,1516626000,4.71,21.00,67.00,21.00
2018-01-22T22,1516629600,4.84,21.00,67.00,21.00
2018-01-22T23,1516633200,3.71,21.00,68.00,21.00
2018-01-23T00,1516636800,3.93,21.00,68.00,21.00
2018-01-23T01,1516640400,4.84,21.00,67.00,21.00
2018-01-23T02,1516644000,5.19,21.00,67.00,21.00
2018-01-23T03,1516647600,4.80,21.00,67.00,21.00
2018-01-23T04,1516651200,4.66,21.00,67.00,21.00
2018-01-23T05,1516654800,3.95,21.00,68.00,21.00
2018-01-23T06,1516658400,3.93,21.00,68.00,21.00
2018-01-23T07,1516662000,4.74,21.00,67.00,21.00
2018-01-23T08,1516665600,5.15,22.00,67.00,21.00
2018-01-23T09,1516669200,5.16,22.00,67.00,21.00
2018-01-23T10,1516672800,4.77,22.00,67.00,21.00
2018-01-23T11,1516676400,4.56,22.00,67.00,21.00
2018-01-23T12,1516680000,4.92,21.00,67.00,21.00
2018-01-23T13,1516683600,5.13,21.00,68.00,21.00
2018-01-23T14,1516687200,5.00,21.00,68.00,21.00
2018-01-23T15,1516690800,3.95,21.00,68.00,21.00
2018-01-23T16,1516694400,3.98,21.00,68.00,21.00
2018-01-23T17,1516698000,5.67,21.00,68.00,20.00
2018-01-23T18,1516701600,6.97,21.00,68.00,20.00
2018-01-23T19,1516705200,7.50,21.00,68.00,20.00
2018-01-23T20,1516708800,7.30,21.00,68.00,20.00
2018-01-23T21,1516712400,7.35,21.00,68.00,20.00
2018-01-23T22,1516716000,7.32,21.00,68.00,20.00
2018-01-23T23,1516719600,6.08,21.00,68.00,20.00
2018-01-24T00,1516723200,6.56,21.00,68.00,20.00
2018-01-24T01,1516726800,9.96,21.00,67.00,20.00
2018-01-24T02,1516730400,11.34,21.00,67.00,20.00
2018-01-24T04,1516737600,11.79,21.00,65.50,20.00
2018-01-24T05,1516741200,8.61,21.00,66.00,20.00
2018-01-24T06,1516744800,7.73,21.00,66.00,20.00
2018-01-24T07,1516748400,9.15,21.00,65.00,20.00
2018-01-24T08,1516752000,8.09,21.00,65.00,20.00
2018-01-24T09,1516755600,8.05,21.00,65.00,20.00
2018-01-24T10,1516759200,7.80,21.00,65.00,20.00
2018-01-24T11,1516762800,7.85,21.00,65.00,20.00
2018-01-24T12,1516766400,8.31,21.00,65.00,20.00
2018-01-24T13,1516770000,8.30,21.00,66.00,20.00
2018-01-24T14,1516773600,8.22,21.00,66.00,20.00
2018-01-24T15,1516777200,5.87,21.00,67.00,20.00
2018-01-24T16,1516780800,5.52,21.00,67.00,20.00
2018-01-24T17,1516784400,6.83,21.00,66.00,20.00
2018-01-24T18,1516788000,6.66,21.00,66.00,20.00
2018-01-24T19,1516791600,6.58,21.00,66.00,20.00
