date,timestamp,pm2.5,temperature,humidity,filter
2018-01-19T03,1516302000,3.00,21.00,71.00,9.00
2018-01-20T03,1516388400,20.15,21.00,72.00,8.00
2018-01-21T03,1516474800,3.00,21.00,72.00,8.00
2018-01-21T20,1516536000,3.02,21.00,72.00,7.00
2018-01-22T07,1516575600,3.03,21.00,70.25,7.00
2018-01-22T08,1516579200,3.28,22.00,68.00,7.00
2018-01-22T09,1516582800,3.06,22.00,68.00,7.00
2018-01-22T10,1516586400,3.02,21.00,68.00,7.00
2018-01-22T11,1516590000,3.03,21.00,68.00,7.00
2018-01-22T12,1516593600,3.03,21.00,68.00,7.00
2018-01-22T13,1516597200,3.00,21.00,69.00,7.00
2018-01-22T14,1516600800,3.00,21.00,69.00,7.00
2018-01-22T15,1516604400,3.00,21.00,69.00,7.00
2018-01-22T16,1516608000,3.00,21.00,68.00,7.00
2018-01-22T17,1516611600,3.00,21.00,69.00,7.00
2018-01-22T18,1516615200,3.00,21.00,69.00,7.00
2018-01-22T19,1516618800,3.00,21.00,69.00,7.00
2018-01-22T20,1516622400,3.00,21.00,69.00,7.00
2018-01-22T21,1516626000,3.00,21.00,69.00,7.00
2018-01-22T22,1516629600,3.00,21.00,68.00,7.00
2018-01-22T23,1516633200,3.00,20.00,69.00,7.00
2018-01-23T00,1516636800,3.01,21.00,69.00,7.00
2018-01-23T01,1516640400,3.12,22.00,68.00,7.00
2018-01-23T02,1516644000,3.32,22.00,68.00,7.00
2018-01-23T03,1516647600,3.17,22.00,68.00,7.00
2018-01-23T04,1516651200,3.03,22.00,67.00,7.00
2018-01-23T05,1516654800,3.00,21.00,68.00,7.00
2018-01-23T06,1516658400,3.00,21.00,68.00,7.00
2018-01-23T07,1516662000,3.00,21.00,68.00,7.00
2018-01-23T08,1516665600,3.00,21.00,68.00,7.00
2018-01-23T09,1516669200,3.00,21.00,68.00,7.00
2018-01-23T10,1516672800,3.01,21.00,68.00,7.00
2018-01-23T11,1516676400,3.03,21.00,68.00,7.00
2018-01-23T12,1516680000,3.03,21.00,68.00,7.00
2018-01-23T13,1516683600,3.02,21.00,68.00,7.00
2018-01-23T14,1516687200,3.00,21.00,68.00,7.00
2018-01-23T15,1516690800,3.00,21.00,69.00,7.00
2018-01-23T16,1516694400,3.00,21.00,69.00,6.00
2018-01-23T17,1516698000,3.04,21.00,68.00,6.00
2018-01-23T18,1516701600,3.08,21.00,68.00,6.00
2018-01-23T19,1516705200,3.10,21.00,68.00,6.00
2018-01-23T20,1516708800,3.04,21.00,68.00,6.00
2018-01-23T21,1516712400,3.12,21.00,68.00,6.00
2018-01-23T22,1516716000,3.26,21.00,68.00,6.00
2018-01-23T23,1516719600,3.08,21.00,69.00,6.00
