date,timestamp,pm2.5,temperature,humidity,filter
2018-01-18T03,1516215600,3.23,22.00,73.00,26.00
2018-01-19T03,1516302000,3.01,22.00,75.00,25.00
2018-01-21T03,1516474800,3.00,22.00,71.00,24.00
2018-01-21T20,1516536000,4.13,22.00,74.00,23.00
2018-01-22T07,1516575600,3.06,21.75,67.75,23.00
2018-01-22T08,1516579200,3.02,22.00,68.00,23.00
2018-01-22T09,1516582800,3.03,22.00,67.00,23.00
2018-01-22T10,1516586400,3.07,22.00,66.00,23.00
2018-01-22T11,1516590000,3.02,22.00,66.00,23.00
2018-01-22T12,1516593600,3.19,22.00,65.00,23.00
2018-01-22T13,1516597200,3.09,22.00,66.00,23.00
2018-01-22T14,1516600800,3.02,22.00,66.00,23.00
2018-01-22T15,1516604400,3.00,22.00,64.00,23.00
2018-01-22T16,1516608000,3.00,22.00,64.00,23.00
2018-01-22T17,1516611600,3.00,22.00,65.00,23.00
2018-01-22T18,1516615200,3.01,22.00,65.00,23.00
2018-01-22T19,1516618800,3.02,22.00,65.00,23.00
2018-01-22T20,1516622400,3.00,22.00,65.00,23.00
2018-01-22T21,1516626000,3.00,22.00,65.00,23.00
2018-01-22T22,1516629600,3.00,22.00,66.00,23.00
2018-01-22T23,1516633200,3.00,22.00,65.00,23.00
2018-01-23T00,1516636800,3.00,22.00,64.00,23.00
2018-01-23T01,1516640400,3.02,22.00,65.00,23.00
2018-01-23T02,1516644000,3.00,22.00,66.00,23.00
2018-01-23T03,1516647600,3.00,20.00,68.00,23.00
2018-01-23T04,1516651200,3.05,21.00,69.00,22.00
2018-01-23T05,1516654800,3.00,21.00,69.00,22.00
2018-01-23T06,1516658400,3.00,20.00,70.00,22.00
2018-01-23T07,1516662000,3.02,20.00,69.00,22.00
2018-01-23T08,1516665600,3.00,20.00,70.00,22.00
2018-01-23T09,1516669200,3.00,20.00,69.00,22.00
2018-01-23T10,1516672800,3.00,20.00,69.00,22.00
2018-01-23T11,1516676400,3.00,20.00,69.00,22.00
2018-01-23T12,1516680000,3.00,21.00,69.00,22.00
2018-01-23T13,1516683600,3.00,21.00,70.00,22.00
2018-01-23T14,1516687200,3.01,21.00,69.00,22.00
2018-01-23T15,1516690800,3.00,21.00,68.00,22.00
2018-01-23T16,1516694400,3.00,22.00,68.00,22.00
2018-01-23T17,1516698000,3.03,21.00,69.00,22.00
2018-01-23T18,1516701600,4.53,21.00,68.00,22.00
2018-01-23T19,1516705200,3.10,21.00,68.00,22.00
2018-01-23T20,1516708800,3.50,22.00,68.00,22.00
2018-01-23T21,1516712400,3.55,22.00,68.00,22.00
2018-01-23T22,1516716000,4.30,22.00,68.00,22.00
2018-01-23T23,1516719600,3.00,22.00,67.00,22.00
2018-01-24T00,1516723200,3.00,22.00,67.00,22.00
2018-01-24T01,1516726800,4.74,20.00,69.00,22.00
2018-01-24T02,1516730400,4.72,20.00,68.00,22.00
2018-01-24T04,1516737600,3.18,20.00,67.00,22.00
2018-01-24T05,1516741200,3.00,20.00,67.00,22.00
2018-01-24T06,1516744800,3.00,20.00,67.00,22.00
2018-01-24T07,1516748400,3.03,21.00,69.00,22.00
2018-01-24T08,1516752000,5.78,21.00,68.00,22.00
2018-01-24T09,1516755600,3.75,21.00,67.00,22.00
2018-01-24T10,1516759200,3.04,21.00,67.00,22.00
2018-01-24T11,1516762800,3.00,21.00,68.00,22.00
2018-01-24T12,1516766400,3.00,21.00,68.00,22.00
2018-01-24T13,1516770000,3.03,21.00,68.00,22.00
2018-01-24T14,1516773600,3.14,21.00,68.00,22.00
2018-01-24T15,1516777200,3.00,22.00,66.00,22.00
2018-01-24T17,1516784400,3.00,21.00,67.00,21.00
2018-01-24T18,1516788000,3.00,21.00,66.00,21.00
2018-01-24T19,1516791600,3.01,21.00,67.00,21.00
2018-01-24T20,1516795200,3.00,21.00,67.00,21.00
2018-01-24T21,1516798800,3.02,22.00,67.00,21.00
2018-01-24T22,1516802400,3.02,21.00,67.00,21.00
2018-01-24T23,1516806000,3.00,22.00,66.00,21.00
2018-01-25T01,1516813200,3.01,21.00,67.00,21.00
2018-01-25T02,1516816800,3.01,21.00,68.00,21.00
2018-01-25T03,1516820400,3.01,21.00,68.00,21.00
2018-01-25T04,1516824000,3.00,21.00,68.00,21.00
2018-01-25T05,1516827600,3.00,22.00,67.00,21.00
2018-01-25T06,1516831200,3.00,22.00,67.00,21.00
2018-01-25T07,1516834800,3.00,21.00,68.00,21.00
2018-01-25T08,1516838400,3.00,21.00,68.00,21.00
2018-01-25T09,1516842000,3.07,22.00,68.00,21.00
2018-01-25T10,1516845600,3.00,21.00,68.00,21.00
2018-01-25T11,1516849200,3.02,22.00,68.00,21.00
2018-01-25T12,1516852800,3.00,22.00,69.00,21.00
2018-01-25T13,1516856400,3.00,22.00,69.00,21.00
2018-01-25T14,1516860000,3.00,22.00,69.00,21.00
2018-01-25T15,1516863600,3.00,22.00,68.00,21.00
2018-01-25T16,1516867200,3.00,22.00,68.00,21.00
2018-01-25T17,1516870800,3.00,22.00,69.00,21.00
2018-01-25T18,1516874400,3.00,22.00,70.00,21.00
2018-01-25T19,1516878000,3.00,22.00,70.00,21.00
2018-01-25T20,1516881600,3.00,22.00,70.00,21.00
2018-01-25T21,1516885200,3.00,22.00,69.00,21.00
2018-01-25T22,1516888800,3.00,22.00,69.00,21.00
2018-01-25T23,1516892400,3.00,22.00,68.00,21.00
2018-01-26T00,1516896000,3.00,22.00,68.00,21.00
2018-01-26T01,1516899600,3.00,22.00,68.00,21.00
2018-01-26T02,1516903200,3.00,22.00,67.00,21.00
2018-01-26T03,1516906800,3.00,22.00,66.00,21.00
2018-01-26T04,1516910400,3.00,21.00,66.00,21.00
2018-01-26T05,1516914000,3.00,22.00,65.00,21.00
2018-01-26T06,1516917600,3.00,21.00,66.00,20.00
2018-01-26T07,1516921200,3.00,20.00,67.00,20.00
2018-01-26T08,1516924800,3.00,20.00,67.00,20.00
2018-01-26T09,1516928400,3.00,20.00,67.00,20.00
2018-01-26T10,1516932000,3.00,20.00,65.00,20.00
2018-01-26T11,1516935600,3.00,21.00,64.00,20.00
2018-01-26T12,1516939200,3.00,21.00,64.00,20.00
2018-01-26T13,1516942800,3.00,21.00,64.00,20.00
2018-01-26T14,1516946400,3.00,21.00,63.00,20.00
2018-01-26T15,1516950000,3.00,21.00,63.00,20.00
2018-01-26T16,1516953600,3.00,22.00,63.00,20.00
2018-01-26T17,1516957200,3.00,21.00,64.00,20.00
2018-01-26T18,1516960800,3.00,21.00,64.00,20.00
2018-01-26T19,1516964400,3.00,21.00,64.00,20.00
2018-01-26T20,1516968000,3.00,21.00,64.00,20.00
2018-01-26T21,1516971600,3.02,21.00,64.00,20.00
2018-01-26T22,1516975200,3.12,21.00,64.00,20.00
2018-01-26T23,1516978800,3.07,21.00,64.00,20.00
2018-01-27T00,1516982400,3.05,21.00,64.00,20.00
2018-01-27T01,1516986000,3.00,21.00,64.00,20.00
2018-01-27T02,1516989600,3.00,21.00,64.00,20.00
2018-01-27T03,1516993200,3.00,22.00,63.00,20.00
2018-01-27T04,1516996800,3.00,22.00,63.00,20.00
2018-01-27T05,1517000400,3.00,22.00,64.00,20.00
2018-01-27T06,1517004000,3.00,22.00,64.00,20.00
2018-01-27T07,1517007600,3.01,22.00,64.00,20.00
2018-01-27T08,1517011200,3.00,22.00,64.00,20.00
2018-01-27T09,1517014800,3.00,22.00,64.00,20.00
2018-01-27T10,1517018400,3.00,22.00,64.00,20.00
2018-01-27T11,1517022000,3.00,22.00,65.00,20.00
2018-01-27T12,1517025600,3.00,22.00,65.00,20.00
2018-01-27T13,1517029200,3.00,22.00,65.00,20.00
2018-01-27T14,1517032800,3.00,22.00,65.00,20.00
2018-01-27T15,1517036400,3.00,22.00,64.00,20.00
2018-01-27T16,1517040000,3.00,22.00,65.00,20.00
2018-01-27T17,1517043600,3.00,22.00,65.00,20.00
2018-01-27T18,1517047200,3.00,22.00,65.00,20.00
2018-01-27T19,1517050800,3.00,22.00,66.00,20.00
2018-01-27T20,1517054400,3.00,22.00,66.00,20.00
2018-01-27T21,1517058000,3.00,22.00,66.00,20.00
2018-01-27T22,1517061600,3.00,22.00,66.00,20.00
2018-01-27T23,1517065200,3.00,22.00,66.00,20.00
2018-01-28T00,1517068800,3.00,22.00,67.00,20.00
2018-01-28T01,1517072400,3.00,22.00,67.00,20.00
2018-01-28T02,1517076000,3.00,22.00,67.00,20.00
2018-01-28T03,1517079600,3.00,22.00,67.00,20.00
2018-01-28T04,1517083200,3.00,22.00,67.00,20.00
2018-01-28T05,1517086800,3.00,22.00,68.00,20.00
2018-01-28T07,1517094000,3.00,22.00,68.00,20.00
2018-01-28T08,1517097600,3.00,22.00,68.00,20.00
2018-01-28T09,1517101200,3.00,22.00,68.00,20.00
2018-01-28T10,1517104800,3.00,22.00,68.00,20.00
2018-01-28T11,1517108400,3.00,22.00,67.00,20.00
2018-01-28T12,1517112000,3.00,22.00,67.00,20.00
2018-01-28T13,1517115600,3.00,22.00,67.00,20.00
2018-01-28T14,1517119200,3.00,22.00,66.00,19.00
2018-01-28T15,1517122800,3.00,22.00,65.00,19.00
2018-01-28T16,1517126400,3.00,22.00,65.00,19.00
2018-01-28T17,1517130000,3.00,22.00,65.00,19.00
2018-01-28T18,1517133600,3.00,22.00,64.00,19.00
2018-01-28T19,1517137200,3.00,22.00,63.00,19.00
2018-01-28T20,1517140800,3.00,22.00,63.00,19.00
2018-01-28T21,1517144400,3.00,22.00,63.00,19.00
2018-01-28T22,1517148000,3.00,22.00,63.00,19.00
2018-01-28T23,1517151600,3.00,22.00,62.00,19.00
2018-01-29T00,1517155200,3.00,22.00,61.00,19.00
2018-01-29T01,1517158800,3.00,21.00,61.00,19.00
2018-01-29T02,1517162400,3.00,21.00,61.00,19.00
2018-01-29T03,1517166000,3.00,21.00,60.00,19.00
2018-01-29T04,1517169600,3.00,21.00,57.00,19.00
2018-01-29T05,1517173200,3.00,21.00,58.00,19.00
2018-01-29T12,1517198400,3.00,21.00,58.00,19.00
2018-01-29T13,1517202000,3.00,21.00,58.00,19.00
2018-01-29T14,1517205600,3.00,21.00,58.00,19.00
2018-01-29T15,1517209200,3.00,21.00,57.00,19.00
2018-01-29T16,1517212800,3.00,21.00,58.00,19.00
2018-01-29T17,1517216400,3.00,21.00,59.00,19.00
2018-01-29T18,1517220000,3.00,21.00,59.00,19.00
2018-01-29T19,1517223600,3.00,21.00,59.00,19.00
2018-01-29T20,1517227200,3.00,21.00,59.00,19.00
2018-01-29T21,1517230800,3.00,21.00,59.00,19.00
2018-01-29T22,1517234400,3.00,21.00,59.00,19.00
2018-01-29T23,1517238000,3.00,21.00,58.00,19.00
2018-01-30T00,1517241600,3.00,21.00,58.00,18.00
